V1,V2,V3
1,1,63
1,2,20
1,2,22
1,2,23
1,2,50
1,2,66
1,2,96
1,3,16
1,3,50
1,4,51
1,4,63
1,5,29
1,5,58
1,5,99
1,6,94
1,7,45
1,7,67
1,8,16
1,9,2
1,9,22
1,10,96
1,11,24
1,11,51
1,12,66
1,13,2
1,13,22
1,13,58
1,14,50
2,15,15
2,15,16
2,15,17
2,15,66
2,16,15
2,17,58
2,17,99
2,18,2
2,18,74
2,19,31
2,19,76
2,20,66
2,21,62
3,22,22
3,22,63
3,23,22
3,24,16
3,24,58
3,25,2
3,25,22
3,26,24
3,27,22
3,27,50
3,27,66
4,28,15
4,28,17
4,28,22
4,28,63
4,29,2
4,29,15
4,29,16
4,29,22
4,29,73
4,30,22
4,30,58
4,30,96
4,30,99
4,31,2
4,31,22
4,31,58
4,31,74
4,32,2
4,32,16
4,32,24
4,32,31
4,32,63
4,32,74
4,32,76
4,33,5
4,33,58
4,34,2
4,34,16
4,34,24
4,34,63
4,34,66
4,35,6
4,35,24
4,35,65
4,35,93
4,36,6
4,36,11
4,36,15
4,36,74
4,36,93
6,37,22
6,37,50
6,37,66
6,38,16
6,39,29
6,39,99
6,40,94
6,41,45
6,41,67
6,42,12
6,42,28
6,42,36
6,43,50
6,44,96
6,45,51
7,46,22
7,46,50
7,46,66
7,47,15
7,47,16
7,48,58
7,48,99
7,49,2
7,49,45
7,49,67
7,49,74
7,50,12
7,50,28
7,50,36
7,51,50
7,52,66
7,52,96
7,53,51
7,54,62
7,54,66
9,55,22
9,56,22
9,57,58
9,58,24
9,58,65
9,58,93
9,59,6
10,60,22
10,60,50
10,60,66
10,60,70
10,61,16
10,62,29
10,62,58
10,62,66
10,62,99
10,63,22
10,64,29
10,64,74
10,64,99
10,65,94
10,66,45
10,66,67
10,67,12
10,67,28
10,67,36
10,68,22
10,68,41
10,68,50
10,69,50
10,69,96
10,70,31
10,70,51
10,70,76
10,70,96
10,71,51
10,71,66
10,72,2
10,72,22
10,72,58
10,72,66
11,73,31
11,73,76
11,74,15
11,74,58
11,74,66
11,75,58
11,75,99
11,76,16
11,76,22
11,76,30
11,77,2
11,77,16
11,77,74
11,78,31
11,78,76
11,79,66
11,80,50
11,80,62
11,80,66
11,81,93
13,82,15
13,82,16
13,82,17
13,82,66
13,83,2
13,83,74
13,84,29
13,84,31
13,84,76
13,84,99
13,85,94
13,86,45
13,86,66
13,86,67
13,87,50
13,88,93
13,88,96
14,89,63
14,90,16
14,90,70
14,91,2
14,91,22
14,91,58
14,91,63
14,91,66
14,92,16
14,92,22
14,92,24
14,93,2
14,93,22
14,93,50
14,93,66
14,94,22
14,94,41
14,95,2
14,95,24
14,95,74
14,96,22
14,96,50
14,96,66
17,97,22
17,97,50
17,97,66
17,98,16
17,98,22
17,99,2
17,99,28
17,99,29
17,99,73
17,99,99
17,100,94
17,100,96
17,101,45
17,101,58
17,101,67
17,102,2
17,102,12
17,102,16
17,102,24
17,102,28
17,102,36
17,102,63
17,102,74
17,103,5
17,103,50
17,104,2
17,104,96
17,105,51
17,106,6
17,106,66
17,107,2
17,107,22
17,107,58
19,108,15
19,109,2
19,109,74
20,110,15
20,110,16
20,110,17
20,110,43
20,110,66
20,111,2
20,111,28
20,111,73
20,112,15
20,112,96
20,113,58
20,113,99
20,114,2
20,114,74
20,114,95
20,115,2
20,115,74
20,116,31
20,116,76
20,117,5
20,117,66
20,118,2
20,118,62
20,119,24
20,119,63
20,120,93
20,121,20
22,122,15
22,122,16
22,122,17
22,122,43
22,122,66
22,123,15
22,123,96
22,124,95
22,125,2
22,125,74
22,126,5
22,127,2
22,127,50
22,128,66
22,129,62
23,130,63
23,131,22
23,132,16
23,132,22
23,132,58
23,132,99
23,133,2
23,133,22
23,133,58
23,134,2
23,134,16
23,134,24
23,134,63
23,135,31
23,135,76
23,136,24
23,136,66
23,137,24
23,137,65
23,137,93
23,138,22
23,138,50
23,138,66
23,138,93
24,139,15
24,139,16
24,139,17
24,139,22
24,139,66
24,140,16
24,141,22
24,141,29
24,141,99
24,142,94
24,143,45
24,143,58
24,143,67
24,144,2
24,144,12
24,144,28
24,144,36
24,144,74
24,145,2
24,145,16
24,145,24
24,145,31
24,145,63
24,145,76
24,146,66
24,146,96
24,147,24
24,147,65
24,147,93
24,148,6
24,148,66
25,149,43
25,149,88
25,150,2
25,150,28
25,150,73
25,150,88
25,151,96
25,152,95
25,153,22
25,153,24
25,153,58
25,153,78
25,154,5
25,154,58
25,155,2
25,155,5
25,156,2
25,156,22
25,157,24
25,157,63
25,158,20
25,158,58
26,159,31
26,159,76
26,160,16
26,160,58
26,160,66
26,161,2
26,161,22
26,162,16
26,162,24
26,163,2
26,163,16
26,163,24
26,163,63
26,164,50
27,165,63
27,166,16
27,167,2
27,167,22
27,168,15
27,169,58
27,169,99
27,170,2
27,170,74
27,171,24
27,171,31
27,171,76
27,172,66
27,173,62
29,174,43
29,175,2
29,175,73
29,176,96
29,177,95
29,178,2
29,178,74
29,179,5
29,180,2
31,181,22
31,181,24
31,181,43
31,181,50
31,181,58
31,181,66
31,181,78
31,182,16
31,182,20
31,182,22
31,182,23
31,182,63
31,182,73
31,182,96
31,183,16
31,183,29
31,183,50
31,183,99
31,184,2
31,184,22
31,184,31
31,184,76
31,184,94
31,185,24
31,185,51
31,185,63
31,185,96
31,186,2
31,186,22
31,186,45
31,186,67
31,187,12
31,187,22
31,187,28
31,187,36
31,187,58
31,188,16
31,188,24
31,188,95
31,189,22
31,189,50
31,189,66
31,190,2
31,190,50
31,190,58
31,190,74
31,191,5
31,191,50
31,191,51
31,192,2
31,192,10
31,192,74
31,193,16
31,193,24
31,193,63
31,194,50
31,194,62
31,194,66
31,195,20
31,195,22
31,195,50
31,195,66
31,195,96
32,196,76
32,197,22
32,197,58
32,197,66
32,198,63
32,199,16
32,199,22
32,199,30
32,200,2
32,200,16
32,200,22
